,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated,,
0,18,33.80481004,44.70186535,48,1.674502205,56.60622895,40.59028183,47.66664736,1,1.147222222,46.56607331,1571.088439,,120,104,,
1,10,33.7708059,44.68801407,44,1.255467939,42.39816408,40.59028172,47.66664731,45,0.869444444,35.29099492,1608.479886,,96,83.2,,
2,2,33.76342491,44.68500793,48,1.351751444,45.63975838,40.5902818,47.66664735,44,0.902777778,36.64400441,1890.954887,,,,,
3,13,33.81682689,44.7067611,45,1.259275761,42.58471042,40.59028177,47.66664733,45,0.869444444,35.29099497,1946.62594,,Average Custom Embedding Calculated,Average Standard Embedding Calculated,,
4,7,33.81181565,44.70471943,50,1.421888469,48.07663079,40.59028182,47.66664736,1,0.941666667,38.22251539,2041.837657,,49.33333333,46.90384615,,
5,6,33.76551089,44.68585749,50,1.386643023,46.82071009,40.59028174,47.66664732,45,0.938888889,38.10976453,2161.290052,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated,,
6,17,33.71204013,44.66408427,49,1.427295946,48.11705821,40.59028186,47.66664738,45,1.008333333,40.9285342,2236.408991,,2.775442529,2.819898885,,
7,3,33.78292755,44.69295133,48,1.357198984,45.85015495,40.59028179,47.66664734,44,0.891666667,36.19300128,2269.947761,,,,,
8,5,33.77945805,44.69153813,46,1.577937169,53.30186241,40.59028182,47.66664736,50,1.077777778,43.74730375,2295.333277,,Average Custom Embedding Norm,Average Standard Embedding Norm,,
9,15,33.79942858,44.69967303,48,1.392764192,47.07463384,40.59028178,47.66664734,48,0.958333333,38.89902003,2376.619735,,1.490184703,0.991346154,,
10,16,33.76492632,44.68561941,46,1.328978462,44.87285985,40.59028173,47.66664732,49,0.902777778,36.64400435,2387.189505,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm,,
11,12,33.75648171,44.68218024,43,1.50504282,50.80495043,40.59028168,47.66664729,51,0.977777778,39.68827543,2394.664207,,0.14489797,0.080267045,,
12,0,33.77313176,44.68896138,44,1.49833052,50.60331407,40.59028186,47.66664738,48,0.930555556,37.7715123,2407.453689,,,,,
13,9,33.84975831,44.72017976,46,1.321400062,44.72907273,40.59028175,47.66664733,47,0.930555556,37.7715122,2418.490109,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness,,
14,14,33.76189938,44.68438663,49,1.382343658,46.67054749,40.59028176,47.66664733,47,0.880555556,35.74199812,2705.869466,,33.77896466,40.59028176,,
15,1,33.80428389,44.701651,49,1.576482147,53.29185004,40.59028177,47.66664733,50,1.025,41.60503881,2773.323696,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness,,
16,11,33.76713189,44.68651769,48,1.368823253,46.22123532,40.59028185,47.66664737,50,0.988888889,40.13927872,3041.122047,,0.039579503,6.40325E-08,,
17,8,33.75598438,44.6819777,50,1.579116349,53.30462681,40.59028189,47.66664739,46,1.022222222,41.49228815,3285.220496,,,,,
18,4,33.7902162,44.69592027,51,1.520963552,51.39368725,40.59028165,47.66664727,50,1.1,44.64930982,3289.40934,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness,,
19,20,33.7575188,44.6826026,1,1.441196276,48.65121038,40.59028163,47.66664727,49,1.111111111,45.10031292,1998.42306,,50.24297131,40.16543681,,
20,21,33.76438412,44.68539859,48,1.410091842,47.6108826,40.59028168,47.66664729,45,0.927777778,37.65876135,2304.98143,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness,,
21,19,33.78401795,44.69339548,55,1.598621404,54.00785421,40.59028179,47.66664734,49,0.955555556,38.78626928,4097.404341,,4.827245707,3.321329136,,
22,22,33.76453514,44.6854601,52,1.630951554,55.06832106,40.59028177,47.66664733,1,1.072222222,43.52180211,2528.978209,,,,,
23,25,33.71299222,44.66447189,48,1.33559153,45.02678686,40.59028175,47.66664732,1,0.922222222,37.43325983,2288.708186,,,,,
24,30,33.8276971,44.71119007,49,1.498949633,50.70601415,40.59028182,47.66664736,1,1.025,41.60503887,2074.546717,,,,,
25,24,33.83013398,44.712183,49,1.667057772,56.39678778,40.59028178,47.66664734,44,1.147222222,46.56607326,2560.479391,,,,,
26,32,33.81541569,44.70618615,48,1.321136966,44.67479569,40.59028173,47.66664731,47,0.897222222,36.41850277,2681.415678,,,,,
27,36,33.88807869,44.7357982,49,1.327140299,44.97423489,40.59028175,47.66664732,1,0.958333333,38.89902,2158.834565,,,,,
28,31,33.74991094,44.67950436,47,1.414071314,47.72478091,40.59028176,47.66664733,48,0.952777778,38.67351846,2928.768685,,,,,
29,34,33.7768209,44.69046398,52,1.790268545,60.46958001,40.5902817,47.6666473,1,1.125,45.66406691,2710.713817,,,,,
30,35,33.76316128,44.68490056,49,1.627823531,54.96046841,40.59028189,47.66664739,49,1.094444444,44.42380849,2658.727892,,,,,
31,33,33.79656306,44.69850571,48,1.717462571,58.04433208,40.5902818,47.66664735,45,1.038888889,42.16879276,3122.604503,,,,,
32,37,33.77714144,44.69059454,1,1.482734489,50.08253255,40.59028164,47.66664727,49,1.033333333,41.94329101,2340.441471,,,,,
33,28,33.79294875,44.69703338,53,1.718834375,58.08448194,40.59028174,47.66664732,1,1.055555556,42.84529741,3346.525437,,,,,
34,26,33.76053986,44.68383295,52,1.57815114,53.27923447,40.59028177,47.66664733,48,1.052777778,42.73254665,3410.085778,,,,,
35,23,33.80263237,44.70097819,52,1.359517241,45.9552615,40.59028176,47.66664733,47,0.977777778,39.68827551,3718.733815,,,,,
36,38,33.81071451,44.70427082,49,1.691935703,57.20555502,40.59028167,47.66664729,47,1.05,42.61979575,2770.990631,,,,,
37,41,33.76831471,44.68699943,46,1.216470695,41.07816526,40.59028177,47.66664733,1,0.866666667,35.17824421,2192.15432,,,,,
38,39,33.73106272,44.67182929,48,1.501236006,50.63828588,40.5902817,47.6666473,47,1.030555556,41.83054033,2857.069074,,,,,
39,42,33.81255081,44.70501895,49,1.333897362,45.10247233,40.5902818,47.66664735,39,0.897222222,36.41850283,2146.702263,,,,,
40,27,33.81185237,44.7047344,52,1.627041178,55.01327611,40.59028174,47.66664732,50,1.183333333,48.03183338,4328.615052,,,,,
41,46,33.82730735,44.71103127,43,1.248660836,42.23883388,40.59028188,47.66664739,1,0.872222222,35.40374585,1551.589472,,,,,
42,40,33.74816046,44.67879151,49,1.535866882,51.83268198,40.59028171,47.6666473,46,0.944444444,38.33526604,2998.507375,,,,,
43,29,33.77003085,44.6876984,54,1.795735448,60.64204148,40.5902818,47.66664735,46,1.058333333,42.95804822,4641.893231,,,,,
44,55,33.74659751,44.67815504,48,1.324893334,44.71064209,40.59028172,47.66664731,1,0.875,35.51649651,1996.104382,,,,,
45,49,33.77848147,44.69114035,47,1.437377744,48.55243749,40.59028174,47.66664732,45,0.991666667,40.25202941,2325.936207,,,,,
46,51,33.77550766,44.68992909,47,1.381956647,46.67628732,40.59028191,47.6666474,47,1.019444444,41.37953737,2344.194419,,,,,
47,53,33.80418809,44.70161197,49,1.442174352,48.75153305,40.59028168,47.66664729,37,0.972222222,39.46277385,2272.238362,,,,,
48,52,33.77593245,44.69010211,51,1.538704361,51.97117456,40.59028176,47.66664733,45,1.058333333,42.95804818,2385.502651,,,,,
49,47,33.75872396,44.68309341,52,1.653868477,55.83248938,40.59028176,47.66664733,45,1.055555556,42.84529743,3043.987335,,,,,
50,54,33.71331306,44.66460251,47,1.420146466,47.8778424,40.59028166,47.66664728,43,0.9,36.53125349,2748.812773,,,,,
51,48,33.74907435,44.67916367,49,1.443475342,48.71595664,40.59028177,47.66664733,50,1.047222222,42.50704507,3110.904665,,,,,
52,50,33.79874279,44.69939366,52,1.577410876,53.31450447,40.59028168,47.66664729,45,0.961111111,39.01177072,3185.514818,,,,,
53,58,33.75940779,44.6833719,45,1.460398027,49.30217253,40.59028166,47.66664728,46,0.908333333,36.86950583,2488.826608,,,,,
54,44,33.82966282,44.71199102,53,1.543250699,52.20765079,40.5902818,47.66664735,47,0.961111111,39.01177084,4483.625665,,,,,
55,59,33.82601924,44.71050642,50,1.408404158,47.64070615,40.59028172,47.66664731,47,0.983333333,39.91377701,2471.561833,,,,,
56,45,33.74741143,44.67848649,53,1.866679517,62.99560167,40.59028185,47.66664737,48,1.175,47.69358117,4525.922582,,,,,
57,56,33.77352762,44.68912261,50,1.505908068,50.85982773,40.59028171,47.6666473,49,1.011111111,41.04128484,3247.638074,,,,,
58,64,33.86264321,44.72543085,47,1.341665084,45.43232605,40.5902817,47.6666473,1,0.855555556,34.72724103,1755.451465,,,,,
59,60,33.81292301,44.70517059,49,1.504096262,50.85789111,40.59028167,47.66664729,45,0.955555556,38.78626917,2912.053879,,,,,
60,57,33.7604933,44.68381398,49,1.409658145,47.59075436,40.59028177,47.66664734,44,0.930555556,37.77151222,3411.758603,,,,,
61,69,33.76638618,44.68621398,45,1.327577132,44.82748212,40.59028165,47.66664728,1,0.880555556,35.74199803,1494.11978,,,,,
62,43,33.78923782,44.69552173,57,1.774320617,59.9529413,40.59028172,47.66664731,51,1.2,48.70833806,5430.069701,,,,,
63,62,33.76317554,44.68490637,52,1.723770699,58.1999727,40.59028178,47.66664734,40,1.102777778,44.76206075,3056.571221,,,,,
64,66,33.72148465,44.66792946,45,1.229921482,41.47477838,40.59028176,47.66664733,47,0.875,35.51649654,2454.994822,,,,,
65,67,33.80699416,44.70275514,46,1.560606446,52.75941301,40.59028179,47.66664734,47,1.077777778,43.74730372,2625.857921,,,,,
66,75,33.75893946,44.68318117,50,1.435462054,48.45967658,40.59028173,47.66664732,1,0.963888889,39.12452156,1952.626097,,,,,
67,72,33.74904574,44.67915202,49,1.327322464,44.79586655,40.59028182,47.66664736,47,0.916666667,37.20775835,2387.413314,,,,,
68,65,33.7968482,44.69862186,49,1.328564656,44.901298,40.5902818,47.66664735,45,0.883333333,35.85474891,3287.201077,,,,,
