,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,EBDD Caluclated Actual,Kannan Calculated Actual
0,93,43.01197657,49.9938716,1,1.359545618,49.40001663,53.53118818,1,0.924479167,1322.393982,,57,31
1,94,42.98793059,49.98175746,1,1.162569287,49.40001682,53.53118829,1,0.817708333,1430.461179,,45.6,24.8
2,79,42.9739248,49.97471227,1,1.354067008,49.40001675,53.53118825,1,0.869791667,1463.736208,,,
3,87,42.9963002,49.98596885,1,1.54112958,49.40001662,53.53118818,1,0.966145833,1474.67279,,,
4,75,43.02692571,50.00141454,1,1.496256291,49.40001665,53.53118819,1,0.96875,1532.95374,,,
5,90,42.98874924,49.98216934,1,1.631888969,49.40001666,53.5311882,1,0.9921875,1739.073798,,56.33333333,54.38709677
6,86,43.01094994,49.99335371,1,1.5712167,49.40001656,53.53118814,1,0.9921875,1925.484813,,,
7,82,43.01847912,49.99715223,1,1.54404339,49.40001657,53.53118814,1,1.106770833,2199.057275,,,
8,77,43.00030321,49.98798372,1,1.403568877,49.40001664,53.53118819,1,0.981770833,2320.974798,,,
9,89,42.96433955,49.96989228,1,1.274906556,49.40001654,53.53118813,1,0.911458333,2441.231859,,,
10,100,42.97049584,49.97298785,1,1.533951541,49.4000165,53.5311881,1,1.104166667,1629.287822,,,
11,92,43.05897629,50.01759697,1,1.448689041,49.40001663,53.53118818,1,1.046875,3241.03217,,,
12,80,42.96782238,49.97164349,49,1.489943393,49.40001662,53.53118818,1,1.03125,3306.231532,,,
13,107,43.00635766,49.99103726,1,1.575820029,49.40001658,53.53118815,1,1.104166667,1588.281397,,,
14,105,43.04661119,50.01135209,1,1.530905694,49.40001659,53.53118815,1,1.026041667,2128.822282,,,
15,76,43.02488521,50.00038477,1,1.655015328,49.40001663,53.53118818,55,1.044270833,4400.025954,,,
16,95,43.01917206,49.99750186,53,1.63486481,49.40001662,53.53118818,1,1.075520833,4754.500929,,,
17,88,43.00833113,49.99203269,55,1.580074471,49.40001669,53.53118822,1,1.065104167,5130.650924,,,
18,104,42.99842017,49.98703572,1,1.192160376,49.40001672,53.53118824,1,0.8359375,3468.343951,,,
19,84,42.99954089,49.98759975,55,1.500893234,49.40001669,53.53118822,1,1.0078125,5957.302348,,,
20,114,42.95391253,49.96465046,1,1.410381815,49.40001657,53.53118815,1,0.9453125,1650.578403,,,
21,101,43.04713238,50.01161527,57,1.508089823,49.40001666,53.5311882,1,0.971354167,5185.483075,,,
22,99,43.01557261,49.99568578,52,1.563725093,49.40001653,53.53118812,1,1.059895833,5370.790009,,,
23,85,42.9858218,49.98069652,55,1.252163044,49.4000166,53.53118816,1,0.848958333,6802.226138,,,
24,91,42.98425002,49.97990579,57,1.509489884,49.40001652,53.53118812,1,1.013020833,7127.981304,,,
25,81,42.98109444,49.9783184,57,1.388572403,49.40001665,53.53118819,52,0.90625,7892.759536,,,
26,116,43.02380208,49.99983818,1,1.492377156,49.40001667,53.5311882,1,1.0078125,2975.635244,,,
27,83,43.0511728,50.01365564,56,1.52777787,49.40001656,53.53118814,55,1.0234375,8275.581003,,,
28,97,43.10793437,50.04234387,1,1.657784012,49.40001649,53.5311881,58,1.114583333,8398.475111,,,
29,102,42.98568917,49.9806298,1,1.558427572,49.40001658,53.53118815,55,0.989583333,7145.514436,,,
30,78,43.01157165,49.99366733,59,1.623373277,49.40001666,53.5311882,1,1.083333333,8739.715406,,,
31,123,42.9984369,49.98704414,1,1.4619738,49.40001659,53.53118816,1,0.9765625,1828.610356,,,
32,118,42.97804261,49.97678332,1,1.424913365,49.4000164,53.53118804,1,0.895833333,3626.298548,,,
33,126,43.04925219,50.01268572,1,1.369483017,49.40001665,53.53118819,1,0.924479167,1521.600761,,,
34,98,42.95655567,49.96597906,58,1.628849026,49.40001658,53.53118815,1,0.997395833,9999.413451,,,
35,106,43.04599217,50.01103951,58,1.56334358,49.40001662,53.53118818,1,1.0078125,7917.341819,,,
36,119,43.0095364,49.99264066,54,1.355046877,49.40001659,53.53118816,1,0.911458333,4451.14575,,,
37,109,43.01278291,49.99427838,55,1.59246011,49.40001655,53.53118813,1,1.0859375,7601.795252,,,
38,122,42.98773683,49.98165997,1,1.426751498,49.40001649,53.5311881,51,0.9453125,4138.185356,,,
39,128,43.0504803,50.01330592,1,1.625225112,49.40001667,53.53118821,1,1.075520833,2363.239395,,,
40,120,43.03637704,50.00618504,55,1.431024858,49.40001655,53.53118813,1,0.984375,4397.123303,,,
41,132,42.98199668,49.97877225,1,1.492445024,49.40001677,53.53118826,1,0.950520833,1274.088274,,,
42,112,43.00938168,49.99256261,57,1.260260715,49.40001663,53.53118818,50,0.919270833,7254.071548,,,
