,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
0,7,34.10131149,35.32861375,41,1.411740433,43.07452586,41.05994415,34,0.923611111,194.6123929,,125,125
1,15,33.98764568,35.26566005,36,1.193806893,43.07452595,41.05994422,39,0.857253086,201.4298744,,100,100
2,19,33.99302262,35.26861204,45,1.5727544,43.07452581,41.05994412,39,1.076003086,219.4808843,,,
3,21,34.07355747,35.31321541,39,1.260959163,43.07452591,41.05994419,46,0.884259259,223.6841984,,Average EBDD Calculated,Average Kannan Calculated
4,16,33.95504221,35.24776681,45,1.367648589,43.07452577,41.05994409,39,0.966049383,232.6675289,,43.864,41.712
5,17,34.02288805,35.28512377,45,1.566712656,43.07452592,41.0599442,44,0.988425926,242.7059996,,Standard Deviation EBDD Calculated,Standard Deviation Kannan Calculated
6,4,33.99752694,35.27108516,46,1.651887817,43.07452589,41.05994418,43,1.055555556,249.1122973,,5.559566008,4.475409515
7,23,34.05481243,35.30281988,43,1.576371903,43.07452602,41.05994427,41,1.011959877,250.6735156,,,
8,2,33.99650184,35.27052231,38,1.175832988,43.0745259,41.05994418,38,0.794753086,258.1244082,,,
9,20,33.92482636,35.23119359,47,1.490964876,43.07452589,41.05994418,48,0.975308642,294.2863507,,,
10,18,34.01226378,35.27923693,32,1.591724672,43.07452585,41.05994414,37,0.989969136,306.6795666,,,
11,11,33.93559097,35.23709685,38,1.476910262,43.07452594,41.05994421,50,0.995756173,313.6200278,,,
12,3,34.0223069,35.28480173,34,1.104083925,43.07452579,41.05994411,41,0.833333333,386.4704926,,,
13,0,34.05335367,35.30201104,42,1.482803718,43.0745259,41.05994418,33,0.951774691,388.9484019,,,
14,13,34.04441094,35.29705304,44,1.194905096,43.07452584,41.05994414,33,0.895447531,430.3140945,,,
15,25,33.8584538,35.19482137,43,1.337078822,43.0745258,41.05994411,43,0.951774691,258.5740294,,,
