,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,,,EBDD Calc,Kannan Calc
0,13,45.33960579,46.73183744,51,1.386064756,52.88128896,51.93869553,43,0.891276042,1084.693877,,,,Samples,125,125
1,12,45.38934924,46.76231571,49,1.461090538,52.88128894,51.93869551,49,1.024739583,1199.25255,,,,Avg,55.336,52.816
2,7,45.37788335,46.75528743,50,1.428916881,52.88128891,51.93869548,47,0.90625,1254.441151,,,,Std Dev,4.179334721,4.060796045
3,14,45.25825629,46.68206749,56,1.502225254,52.88128896,51.93869552,47,0.977864583,1513.618936,,,,,,
4,19,45.35746283,46.74277468,47,1.425390351,52.88128896,51.93869552,55,0.954427083,1708.545977,,,,,,
5,22,45.37619513,46.75425274,50,1.580686839,52.88128885,51.93869544,50,1.0390625,1798.187574,,,,,,
6,10,45.31950149,46.71952905,48,1.215756405,52.8812889,51.93869548,48,0.771484375,1849.245519,,,,,,
7,2,45.31430388,46.71634784,49,1.21233607,52.88128891,51.93869549,54,0.809895833,1868.341918,,,,,,
8,20,45.24847013,46.67608643,50,1.423353982,52.88128883,51.93869543,53,1.053385417,1882.713778,,,,,,
9,3,45.34332239,46.73411345,51,1.397169668,52.8812888,51.9386954,55,0.92578125,1900.370938,,,,,,
10,0,45.38278655,46.75829273,53,1.261885936,52.8812889,51.93869548,57,0.970052083,1985.244166,,,,,,
11,15,45.39918677,46.76834732,53,1.377017213,52.88128896,51.93869553,50,0.923828125,2192.539952,,,,,,
12,17,45.32818671,46.72484569,53,1.513417533,52.88128892,51.9386955,56,0.977213542,2531.599725,,,,,,
13,4,45.3877466,46.76133323,55,1.647938596,52.88128891,51.93869549,54,1.078125,2641.67359,,,,,,
14,25,45.34523307,46.73528361,43,1.421677479,52.88128886,51.93869545,53,0.962239583,1850.233407,,,,,,
15,1,45.35796257,46.74308083,58,1.333142989,52.88128884,51.93869543,50,0.94921875,3084.976985,,,,,,
16,9,45.3168034,46.71787763,58,1.533637238,52.88128893,51.9386955,52,0.967447917,3199.289174,,,,,,
17,23,45.33001493,46.72596496,52,1.284174781,52.88128886,51.93869545,58,0.912109375,3383.917487,,,,,,
18,33,45.35842947,46.74336686,55,1.419521699,52.88128891,51.93869548,50,0.958333333,1697.301838,,,,,,
19,38,45.31303649,46.71557219,52,1.496528627,52.88128879,51.93869539,46,1.000651042,1332.032688,,,,,,
20,31,45.23778204,46.66955564,53,1.209180055,52.88128887,51.93869545,48,0.901041667,2515.589902,,,,,,
21,16,45.35745529,46.74277006,54,1.303536684,52.88128894,51.93869551,60,0.944010417,4429.524303,,,,,,
22,32,45.37954889,46.75630825,55,1.313487232,52.88128883,51.93869543,47,0.889973958,2647.751114,,,,,,
23,30,45.38321479,46.75855523,57,1.649251083,52.88128891,51.93869548,54,1.03515625,2825.566608,,,,,,
24,6,45.35474968,46.74111262,61,1.415238799,52.88128899,51.93869555,52,0.945963542,4716.140755,,,,,,
25,8,45.33349015,46.72809269,62,1.488757707,52.88128892,51.93869549,54,0.987630208,4743.709038,,,,,,
26,21,45.30166749,46.70861527,59,1.3968172,52.88128897,51.93869554,56,0.932942708,4856.878332,,,,,,
27,41,45.32380556,46.72216365,54,1.238987542,52.88128886,51.93869545,45,0.838541667,1489.021594,,,,,,
28,29,45.2775083,46.6938377,61,1.548249619,52.88128893,51.9386955,49,1.039713542,3432.165247,,,,,,
29,42,45.33033394,46.72616027,55,1.281118332,52.88128898,51.93869554,51,0.90625,1647.392174,,,,,,
30,40,45.3000499,46.70762558,55,1.524498916,52.88128884,51.93869543,54,0.964192708,2197.551497,,,,,,
31,28,45.40465906,46.77170308,59,1.549716456,52.88128895,51.93869551,55,1.039713542,3710.405785,,,,,,
32,39,45.39126758,46.76349179,55,1.650685225,52.88128888,51.93869546,55,1.080078125,2360.905077,,,,,,
33,11,45.40629838,46.77270844,60,1.52260788,52.88128887,51.93869545,61,1.072916667,5697.203587,,,,,,
34,18,45.4396471,46.79316851,61,1.550172802,52.88128888,51.93869546,52,1.169921875,5812.929352,,,,,,
35,37,45.27147713,46.69014984,58,1.51689847,52.88128892,51.93869549,49,0.994791667,3195.534204,,,,,,
36,26,45.33563435,46.72940557,59,1.830819346,52.88128899,51.93869555,50,1.125,4688.785448,,,,,,
37,35,45.39163904,46.76371952,56,1.553945088,52.88128886,51.93869545,59,1.082682292,3798.208413,,,,,,
38,27,45.31566761,46.71718248,59,1.780000336,52.8812887,51.93869532,55,1.151041667,4505.598035,,,,,,
39,47,45.43462165,46.79008431,53,1.355319604,52.8812889,51.93869548,49,0.983072917,1489.477225,,,,,,
40,46,45.23403336,46.66726544,54,1.246563724,52.88128903,51.93869558,51,0.899739583,1839.41214,,,,,,
41,5,45.3394316,46.73173077,61,1.600518898,52.8812889,51.93869547,58,1.122395833,6711.226651,,,,,,
42,51,45.32888442,46.72527284,52,1.290919693,52.88128888,51.93869546,52,0.963541667,2056.295465,,,,,,
43,55,45.34129208,46.73287008,49,1.296720455,52.881289,51.93869555,53,0.887369792,1642.043218,,,,,,
44,43,45.39561764,46.76615885,56,1.631695304,52.88128894,51.93869551,58,1.174479167,2796.826464,,,,,,
45,48,45.24442847,46.67361665,57,1.465191157,52.88128899,51.93869555,47,1.022135417,2570.832199,,,,,,
46,63,45.32731996,46.72431506,48,1.556196791,52.88128894,51.93869551,53,0.958984375,1357.552296,,,,,,
47,65,45.34584736,46.73565983,50,1.242362806,52.8812889,51.93869548,43,0.863932292,915.0852473,,,,,,
48,58,45.35978753,46.74419886,54,1.420570082,52.88128891,51.93869549,51,0.9375,1908.178817,,,,,,
49,57,45.35400672,46.7406575,54,1.518048101,52.88128896,51.93869553,52,0.955729167,2037.818054,,,,,,
50,24,45.45272243,46.80119468,62,1.954703867,52.8812889,51.93869548,51,1.158854167,6738.701711,,,,,,
51,54,45.32648025,46.723801,52,1.422967337,52.88128895,51.93869552,54,0.951822917,2578.841034,,,,,,
52,56,45.29656534,46.70549375,57,1.439702984,52.88128883,51.93869542,58,1.016276042,2789.250252,,,,,,
53,45,45.31838466,46.71884546,59,1.550069214,52.88128887,51.93869546,52,1.034505208,4069.836018,,,,,,
54,36,45.43512865,46.79039545,60,1.586042123,52.88128896,51.93869553,53,1.037109375,6017.372034,,,,,,
55,53,45.44218349,46.79472526,56,1.38309943,52.88128885,51.93869544,55,0.931640625,3366.390397,,,,,,
56,60,45.41525138,46.77819976,58,1.584949859,52.88128899,51.93869555,55,1.028645833,2729.190973,,,,,,
57,64,45.38316292,46.75852344,48,1.168907496,52.88128892,51.93869549,51,0.767578125,2395.59603,,,,,,
58,61,45.28080987,46.69585672,57,1.413908296,52.8812889,51.93869548,56,1.014973958,3236.094264,,,,,,
59,72,45.36625783,46.74816313,51,1.242362446,52.88128896,51.93869553,53,0.889973958,1650.81084,,,,,,
60,69,45.39074259,46.76316993,52,1.214888665,52.88128905,51.93869559,48,0.81640625,2187.531426,,,,,,
61,59,45.40628282,46.77269889,58,1.544306968,52.88128891,51.93869548,60,1.031901042,3868.501047,,,,,,
62,75,45.28905207,46.70089773,52,1.621409892,52.88128898,51.93869554,48,1.069661458,1776.385155,,,,,,
63,74,45.3714565,46.75134873,55,1.231715072,52.88128893,51.9386955,56,0.91796875,2136.388038,,,,,,
64,68,45.24401988,46.67336698,55,1.554880558,52.88128895,51.93869551,54,0.981119792,3195.96412,,,,,,
65,77,45.36690663,46.74856068,53,1.433184402,52.88128897,51.93869554,55,0.97265625,1913.156847,,,,,,
66,49,45.31651374,46.71770035,62,1.638774383,52.88128896,51.93869552,51,1.043619792,5693.026654,,,,,,
67,80,45.38242281,46.75806978,54,1.45745783,52.88128891,51.93869548,49,0.96875,1826.061998,,,,,,
