,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,2,45.35490772,46.74120943,50,1.145124386,51.93701085,52.88128888,51.93869547,50,0.809895833,42.82833551,1291.753616,,125,125
1,6,45.36634446,46.74821622,53,1.612692464,73.16196183,52.88128895,51.93869552,47,0.945963542,50.0237714,1348.312697,,100,100
2,10,45.33104508,46.72659566,51,1.185070784,53.72049713,52.88128887,51.93869546,47,0.771484375,40.79708809,1394.169315,,,
3,15,45.3473815,46.73659943,48,1.392316107,63.13788967,52.8812889,51.93869548,52,0.923828125,48.85322197,1399.57995,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,13,45.37316524,46.75239587,53,1.311228872,59.49460428,52.88128897,51.93869553,49,0.891276042,47.13182593,1419.946085,,55.568,53.224
5,1,45.39241584,46.76419577,47,1.381188366,62.69547666,52.88128893,51.9386955,54,0.94921875,50.19591098,1746.377852,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,3,45.34169968,46.73311969,56,1.349995767,61.21110264,52.881289,51.93869556,52,0.92578125,48.95650583,1772.290871,,3.559032126,3.700183082
7,9,45.38249206,46.75811222,54,1.371904865,62.26046164,52.88128891,51.93869548,49,0.967447917,51.1598928,1795.849578,,,
8,16,45.36187052,46.74547501,53,1.357396661,61.57405158,52.88128883,51.93869542,50,0.944010417,49.92048752,1831.376569,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,4,45.333644,46.72818689,56,1.51392658,68.63180862,52.88128887,51.93869545,51,1.078125,57.01263956,1832.451896,,1.484394775,0.989125
10,8,45.29864191,46.70676416,55,1.576806821,71.42720755,52.88128901,51.93869556,50,0.987630208,52.22715846,1969.376576,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,0,45.38833525,46.7616941,55,1.38306091,62.77483225,52.88128898,51.93869554,54,0.970052083,51.29760453,2074.87952,,0.154429307,0.086674829
12,17,45.31367728,46.71596435,57,1.428952512,64.75109298,52.88128905,51.93869559,53,0.977213542,51.67631178,2260.742851,,,
13,12,45.34058739,46.73243854,55,1.507652426,68.35784657,52.88128884,51.93869543,57,1.024739583,54.18954987,2335.304956,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,19,45.42957902,46.78698993,58,1.468641419,66.7197614,52.88128886,51.93869545,52,0.954427083,50.47133427,2343.085998,,45.35500586,52.88128891
15,11,45.30303999,46.70945504,52,1.488796803,67.4470211,52.88128885,51.93869544,58,1.072916667,56.73721618,2638.065151,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,21,45.39859013,46.76798147,55,1.352165384,61.38640206,52.88128901,51.93869556,51,0.932942708,49.33521297,1693.797786,,0.051416581,6.43264E-08
17,20,45.37085244,46.75097856,52,1.502302703,68.16075426,52.88128889,51.93869547,53,1.053385417,55.70437855,1787.436683,,,
18,7,45.35740421,46.74273877,59,1.499365929,68.0073465,52.88128891,51.93869548,52,0.90625,47.92366807,3366.449469,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,25,45.28850764,46.70056472,57,1.340205713,60.69591667,52.88128896,51.93869552,49,0.962239583,50.88446944,1633.374437,,67.32497326,52.3062049
20,28,45.39690116,46.76694584,54,1.706077485,77.45063096,52.8812889,51.93869548,49,1.039713542,54.98139219,1549.537472,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,14,45.30509322,46.71071136,61,1.505276997,68.19671467,52.88128894,51.93869551,51,0.977864583,51.71073956,3534.245059,,7.006436838,4.583476652
22,23,45.35908271,46.74376705,57,1.408037909,63.86730797,52.88128889,51.93869547,53,0.912109375,48.23351936,2838.42349,,,
23,27,45.34203493,46.733325,56,1.771613145,80.3285451,52.88128881,51.93869541,55,1.151041667,60.86856682,2444.640208,,,
24,31,45.32305854,46.72170636,57,1.377712604,62.442149,52.88128898,51.93869554,48,0.901041667,47.64824478,2473.184735,,,
25,33,45.41143528,46.77585901,54,1.459087478,66.25925658,52.88128892,51.93869549,56,0.958333333,50.67790186,2417.552144,,,
26,22,45.3238577,46.72219556,51,1.580470166,71.6330049,52.88128883,51.93869542,59,1.0390625,54.94696417,3498.050278,,,
27,32,45.37906306,46.75601047,56,1.442448846,65.45697714,52.88128882,51.93869542,54,0.889973958,47.06296992,2708.447773,,,
28,37,45.31031084,46.71390415,51,1.465387008,66.39714083,52.88128884,51.93869543,54,0.994791667,52.60586548,2021.438116,,,
29,24,45.4211521,46.78181957,60,1.831605471,83.19363069,52.8812888,51.9386954,53,1.158854167,61.28170188,3787.823543,,,
30,41,45.3301997,46.72607808,54,1.322423052,59.94570104,52.88128891,51.93869548,42,0.838541667,44.34316416,1865.448964,,,
31,40,45.27092683,46.68981337,56,1.433951792,64.91632665,52.88128885,51.93869544,52,0.964192708,50.9877531,2128.988765,,,
32,30,45.37657287,46.75448425,59,1.62208067,73.60446172,52.88128903,51.93869558,57,1.03515625,54.74039685,3934.63041,,,
33,36,45.4171405,46.77935859,59,1.478760683,67.16108171,52.8812889,51.93869548,51,1.037109375,54.84368048,2879.331728,,,
34,29,45.31940706,46.71947125,61,1.683938333,76.31508678,52.88128884,51.93869543,58,1.039713542,54.98139213,4119.863118,,,
35,44,45.36496411,46.74737044,56,1.427150925,64.74265049,52.88128894,51.93869551,48,0.955729167,50.54019023,1589.439898,,,
36,18,45.34851768,46.73729532,62,1.777470296,80.60564314,52.88128884,51.93869543,60,1.169921875,61.86697659,6151.932645,,,
37,34,45.35007915,46.73825172,59,1.537177275,69.71111109,52.88128898,51.93869554,54,1.115234375,58.97503126,3943.654367,,,
38,38,45.39411294,46.76523628,58,1.513802109,68.7177039,52.88128901,51.93869557,54,1.000651042,52.91571695,2964.896486,,,
39,35,45.34528743,46.7353169,55,1.564439985,70.93998079,52.88128887,51.93869545,59,1.082682292,57.25363504,3849.651525,,,
40,46,45.35088257,46.73874383,49,1.252142951,56.78578793,52.88128888,51.93869546,54,0.899739583,47.57938881,1607.20488,,,
41,42,45.35880919,46.74359949,51,1.334094292,60.51292843,52.88128892,51.93869549,53,0.90625,47.92366808,2391.803552,,,
42,45,45.27742384,46.69378605,52,1.589033391,71.94733834,52.88128899,51.93869555,55,1.034505208,54.70596887,1973.43154,,,
43,48,45.36646698,46.74829129,54,1.378164286,62.52244457,52.88128908,51.93869562,50,1.022135417,54.05183847,1667.455047,,,
44,26,45.33627666,46.72979887,59,1.829301441,82.93371622,52.88128887,51.93869545,62,1.125,59.49144998,5023.640647,,,
45,49,45.34801516,46.73698753,54,1.63489838,74.13939652,52.88128904,51.93869559,53,1.043619792,55.18795987,1790.279318,,,
46,47,45.36446026,46.74706173,54,1.429834459,64.86366849,52.88128891,51.93869548,53,0.983072917,51.98616294,2349.103254,,,
47,50,45.37118955,46.75118514,57,1.558581334,70.71468913,52.88128886,51.93869545,50,1.018880208,53.87969859,2012.191527,,,
48,56,45.36954145,46.7501752,48,1.539348603,69.83954025,52.88128886,51.93869545,53,1.016276042,53.74198694,1748.07188,,,
49,55,45.35135,46.73903014,55,1.3822463,62.68673574,52.88128881,51.9386954,53,0.887369792,46.92525825,2051.960698,,,
50,51,45.35383976,46.74055523,56,1.296325015,58.79331701,52.88128887,51.93869545,56,0.963541667,50.95332523,2720.789171,,,
51,57,45.43393419,46.78966243,52,1.31605603,59.79360306,52.8812889,51.93869548,52,0.955729167,50.54019019,1955.921281,,,
52,52,45.32946946,46.72563101,54,1.606651306,72.82865131,52.88128891,51.93869549,53,1.034505208,54.70596878,2347.148724,,,
53,58,45.32627628,46.72367613,56,1.351299781,61.24938721,52.88128898,51.93869554,53,0.9375,49.57620842,1959.86334,,,
54,64,45.44452435,46.79616208,53,1.154960461,52.48662879,52.88128883,51.93869543,50,0.767578125,40.59052053,1524.410377,,,
55,65,45.34427393,46.73469619,51,1.254997744,56.90696149,52.88128895,51.93869552,54,0.863932292,45.68585317,1557.306047,,,
56,60,45.28543716,46.6986867,54,1.540655946,69.76927803,52.88128898,51.93869554,53,1.028645833,54.39611755,2275.071193,,,
57,54,45.30029114,46.70777318,56,1.571462978,71.18773042,52.88128884,51.93869544,56,0.951822917,50.3336226,2984.099958,,,
58,61,45.23387272,46.6671673,56,1.586858059,71.77973547,52.88128891,51.93869549,49,1.014973958,53.67313111,2307.398772,,,
59,62,45.29983691,46.70749527,58,1.666393102,75.48733575,52.88128887,51.93869545,51,1.141276042,60.35214806,2260.251027,,,
60,67,45.39968531,46.76865302,55,1.376626296,62.49840063,52.881289,51.93869556,51,1.004557292,53.12228448,1631.67008,,,
61,39,45.30523153,46.71079599,63,1.77754928,80.53228169,52.88128885,51.93869544,54,1.080078125,57.11592331,5695.82769,,,
62,59,45.42177664,46.78220273,53,1.464871669,66.53707376,52.88128892,51.93869549,57,1.031901042,54.56825714,2631.86499,,,
63,53,45.40602068,46.77253812,62,1.427713283,64.82677885,52.8812889,51.93869548,47,0.931640625,49.26635704,3667.813915,,,
64,66,45.34703615,46.73638791,56,1.280432021,58.06379714,52.88128896,51.93869553,47,0.904947917,47.85481229,2461.980193,,,
65,69,45.32130392,46.72063232,50,1.102171904,49.95186783,52.88128892,51.9386955,53,0.81640625,43.17261478,1597.024322,,,
66,74,45.41259786,46.7765721,54,1.259388192,57.19208951,52.88128885,51.93869544,49,0.91796875,48.54337062,1703.914886,,,
67,43,45.39465252,46.7655671,62,1.757347074,79.77415978,52.88128889,51.93869547,60,1.174479167,62.10797213,6043.359544,,,
68,68,45.33617088,46.7297341,57,1.585675901,71.88847361,52.88128896,51.93869553,52,0.981119792,51.88287923,2384.692736,,,
69,63,45.35690164,46.74243089,60,1.612073382,73.11865382,52.88128898,51.93869554,52,0.958984375,50.71232986,3585.120649,,,
70,72,45.30533784,46.71086104,57,1.291189694,58.4977853,52.8812889,51.93869548,49,0.889973958,47.06296999,2414.325625,,,
71,70,45.30294076,46.70939432,55,1.567692771,71.02109273,52.88128898,51.93869554,58,1.064453125,56.28965331,2454.737283,,,
72,71,45.30172107,46.70864805,55,1.54066525,69.79478742,52.8812889,51.93869548,58,1.094401042,57.87333767,2526.317924,,,
73,85,45.31565799,46.71717659,47,1.216655273,55.13353424,52.88128902,51.93869557,49,0.753255208,39.83310636,1066.789795,,,
74,81,45.33537261,46.72924531,54,1.549418386,70.24345986,52.88128884,51.93869543,53,0.9921875,52.46815377,1834.131522,,,
75,73,45.31286937,46.71546991,54,1.486910405,67.37617695,52.8812889,51.93869547,59,0.947265625,50.09262718,2938.960871,,,
76,77,45.31408075,46.71621129,56,1.4057353,63.6996029,52.88128889,51.93869547,53,0.97265625,51.43531615,2530.086683,,,
77,86,45.26428,46.68574969,53,1.311975125,59.38560941,52.8812888,51.9386954,50,1.00390625,53.08785633,1503.204473,,,
78,94,45.4125129,46.77651999,50,1.266552373,57.51732598,52.88128886,51.93869545,44,0.848307292,44.85958295,974.2666795,,,
79,88,45.36314906,46.74625836,53,1.570786741,71.25583307,52.88128893,51.9386955,53,1.095052083,57.90776559,1600.782053,,,
80,80,45.35431345,46.7408454,57,1.629283434,73.89503156,52.88128895,51.93869552,57,0.96875,51.22874867,2853.892517,,,
81,78,45.24605451,46.67461026,56,1.536813452,69.53474522,52.88128899,51.93869555,58,1.0703125,56.59950462,3053.296642,,,
82,84,45.37457493,46.75325979,55,1.445197668,65.57522988,52.88128892,51.93869549,50,0.921875,48.74993822,2298.808991,,,
83,75,45.39738378,46.76724176,60,1.689298019,76.68971049,52.88128895,51.93869552,55,1.069661458,56.56507664,3613.760893,,,
84,92,45.3180652,46.71864993,54,1.476216968,66.89929681,52.88128894,51.93869551,47,0.995442708,52.64029346,1400.932564,,,
85,83,45.38357485,46.75877594,57,1.583944024,71.88504217,52.88128879,51.93869539,55,1.000651042,52.91571673,2588.659289,,,
86,5,45.40101651,46.76946932,65,1.671400269,75.88327121,52.88128888,51.93869546,63,1.122395833,59.35373828,12763.45661,,,
87,76,45.4233976,46.78319721,62,1.733683884,78.74981238,52.88128888,51.93869547,51,1.001302083,52.95014471,4210.168225,,,
88,79,45.43638431,46.79116604,61,1.567430679,71.21838271,52.88128894,51.93869551,54,1.000651042,52.91571688,4037.64881,,,
89,93,45.34136418,46.73291424,51,1.558000573,70.64187137,52.88128887,51.93869546,55,0.959635417,50.7467577,2219.551581,,,
90,90,45.42197435,46.78232402,53,1.63835863,74.41748367,52.88128903,51.93869558,57,1.009114583,53.36327993,2748.078768,,,
91,87,45.24009202,46.67096698,55,1.524863898,68.98498306,52.88128882,51.93869542,58,1.016276042,53.7419869,3168.978191,,,
92,89,45.37008665,46.75050929,59,1.630553995,73.97837604,52.88128884,51.93869543,54,1.041015625,55.05024795,3279.887537,,,
93,102,45.27570604,46.69273563,51,1.36411952,61.76147439,52.88128883,51.93869542,52,0.964192708,50.98775308,1558.329726,,,
94,105,45.31682789,46.71789262,55,1.375777917,62.34589108,52.88128898,51.93869554,49,0.9140625,48.33680321,1655.19302,,,
95,91,45.44808738,46.79834922,59,1.693180531,76.95181672,52.88128884,51.93869543,51,1.1015625,58.25204474,3157.508473,,,
96,103,45.28927827,46.70103609,51,1.199996651,54.34698225,52.88128896,51.93869552,53,0.883463542,46.71869085,1694.165476,,,
97,104,45.26761806,46.68779041,50,1.275959975,57.75966881,52.88128885,51.93869544,55,0.840494792,44.44644787,1698.748968,,,
98,97,45.45949821,46.80535486,56,1.567863162,71.27427261,52.88128884,51.93869543,58,1.080078125,57.1159233,2662.338462,,,
99,101,45.35703771,46.74251424,56,1.440321079,65.32869749,52.88128892,51.9386955,51,1.02734375,54.32726166,2412.939889,,,
100,95,45.43955077,46.79310939,60,1.667108918,75.75268032,52.88128891,51.93869548,52,1.077473958,56.97821167,3184.683235,,,
101,98,45.30984008,46.71361606,55,1.32725135,60.13754641,52.88128891,51.93869548,54,0.897135417,47.44167718,2728.75624,,,
102,100,45.36570377,46.74782365,57,1.635890198,74.21331012,52.88128893,51.9386955,56,1.054036458,55.73880648,2725.749176,,,
103,112,45.33828126,46.73102635,53,1.372856706,62.24296347,52.88128889,51.93869547,47,0.930338542,49.19750121,1569.832893,,,
104,82,45.34005719,46.73211386,56,1.575534107,71.43480652,52.88128892,51.93869549,62,1.095052083,57.90776558,6300.18256,,,
105,114,45.30401225,46.71004993,54,1.376571608,62.36421699,52.88128896,51.93869553,51,0.863932292,45.68585318,1749.578976,,,
106,96,45.39269689,46.76436808,59,1.559905982,70.80833942,52.8812889,51.93869548,57,1.050130208,55.53223891,4285.263216,,,
107,118,45.45611748,46.80327908,55,1.422696788,64.67027233,52.88128879,51.93869539,51,0.90625,47.92366797,1712.982672,,,
108,99,45.42591956,46.78474453,59,1.527209422,69.37489236,52.88128907,51.93869561,54,0.992838542,52.50258194,4054.48983,,,
109,107,45.39610077,46.76645508,59,1.545710553,70.16923203,52.88128893,51.9386955,53,0.996744792,52.70914934,3125.020835,,,
110,120,45.40731727,46.77333331,54,1.409022321,63.97992357,52.88128893,51.9386955,52,0.995442708,52.64029346,1751.093337,,,
111,113,45.31962394,46.719604,57,1.502040167,68.07189551,52.88128887,51.93869545,56,1.051432292,55.60109476,2610.906923,,,
112,116,45.39677749,46.76687001,55,1.561336756,70.8796573,52.8812889,51.93869548,55,1.098958333,58.1143331,2386.366662,,,
113,108,45.44055908,46.79372824,52,1.468685276,66.73788005,52.88128895,51.93869552,60,1.029296875,54.43054546,3231.427094,,,
114,122,45.32988046,46.72588264,53,1.37103741,62.1489619,52.88128894,51.93869551,52,0.910807292,48.16466358,1696.912637,,,
115,106,45.40878026,46.77423059,59,1.489356044,67.62984133,52.88128882,51.93869542,57,1.061197917,56.11751354,3700.558398,,,
116,109,45.23533651,46.66806155,60,1.745124275,78.94128383,52.88128887,51.93869545,56,1.171875,61.97026039,3522.578574,,,
117,119,45.45451785,46.80229696,58,1.363194427,61.96334542,52.88128898,51.93869554,52,0.945963542,50.02377143,2294.860918,,,
118,123,45.34059571,46.73244364,54,1.281953479,58.12453441,52.88128895,51.93869552,51,0.912760417,48.26794735,1501.247541,,,
119,110,45.41843987,46.78015569,58,1.401989203,63.67616231,52.88128885,51.93869544,58,0.962890625,50.91889727,3448.111422,,,
120,124,45.43630219,46.79111564,56,1.436700338,65.27835071,52.88128884,51.93869543,54,0.96875,51.22874856,1736.141088,,,
121,115,45.33921157,46.73159603,59,1.620605489,73.47697514,52.88128903,51.93869558,58,1.060546875,56.08308583,3528.566994,,,
122,121,45.34588184,46.73568095,59,1.561493506,70.80730002,52.8812889,51.93869548,55,1.016276042,53.74198698,2876.054963,,,
123,111,45.25948982,46.68282149,62,1.805927449,81.73535499,52.88128901,51.93869557,54,1.119791667,59.21602677,4061.896161,,,
124,117,45.41355283,46.77715786,63,1.715436835,77.90408133,52.88128889,51.93869547,55,1.111979167,58.80289157,5111.070796,,,
