Is Ring?	n	Average EBDD Calculated	Standard Deviation EBDD Calculated	Number of Samples EBDD	Average Kannan Calculated	Standard Deviation Kannan Calculated	Number of Samples Kannan
FALSE	64	36.344	6.057199353	125	33.496	5.625120799	125
FALSE	72	44.576	5.257016644	125	42.056	4.639489627	125
FALSE	80	51.984	4.869470608	125	49.192	4.900115917	125
FALSE	88	54.984	4.504191825	125	52.64	4.47821393	125
FALSE	96						
FALSE	104	49.992	3.589977159	125	47.824	3.541895538	125
FALSE	112	46.58870968	2.89943111	124	44.68852459	2.976719497	122
FALSE	120	49.18103448	2.845588922	116	46.87037037	2.954776246	108
FALSE	128	56.01030928	3.222624595	97	54.34	2.789265136	50
TRUE	64	43.95	5.384004086	100	42.65	5.446788044	100
TRUE	128						
