,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,EBDD Calc,Kannan Calc
0,19,42.88513379,42.88513379,1,1.529199301,49.40001653,49.40001653,1,0.971354167,948.6492686,,Samples,90,60
1,17,42.79907859,42.79907859,1,1.770127525,49.40001664,49.40001664,1,1.044270833,1196.555647,,Avg,55.53333333,54
2,4,43.07274044,43.07274044,1,1.536577616,49.40001664,49.40001664,1,1.09375,1290.768873,,Std Dev,3.061908049,2.822428333
3,7,42.76054276,42.76054276,1,1.484446563,49.40001666,49.40001666,1,0.9453125,1322.064645,,,,
4,12,43.20046734,43.20046734,1,1.325836746,49.40001666,49.40001666,1,0.9609375,1322.623806,,,,
5,0,42.88899072,42.88899072,1,1.357554853,49.4000166,49.4000166,1,0.924479167,1709.322722,,,,
6,20,42.98781835,42.98781835,1,1.518810187,49.40001658,49.40001658,1,1.080729167,978.9626241,,,,
7,23,43.12555561,43.12555561,1,1.489403462,49.40001665,49.40001665,1,0.9609375,1149.559117,,,,
8,21,42.91207708,42.91207708,1,1.488784528,49.40001652,49.40001652,1,0.9765625,1293.896753,,,,
9,6,43.35933636,43.35933636,1,1.268779383,49.40001663,49.40001663,51,0.9453125,2637.698619,,,,
10,2,42.87165259,42.87165259,53,1.304076582,49.40001658,49.40001658,1,0.901041667,3154.072524,,,,
11,11,42.72138122,42.72138122,52,1.350114321,49.40001665,49.40001665,1,0.971354167,3311.086012,,,,
12,26,42.94680262,42.94680262,1,1.717968683,49.4000167,49.4000167,1,1.041666667,1873.422057,,,,
13,16,43.56369602,43.56369602,1,1.217922873,49.40001669,49.40001669,55,0.888020833,3838.816763,,,,
14,3,43.16971223,43.16971223,54,1.243382783,49.40001654,49.40001654,1,0.9140625,3964.178164,,,,
15,9,43.08376307,43.08376307,1,1.386935634,49.40001665,49.40001665,55,0.919270833,4347.493602,,,,
16,30,43.33954063,43.33954063,1,1.431356297,49.40001671,49.40001671,1,1.015625,1277.204202,,,,
17,25,42.893944,42.893944,1,1.44976382,49.40001666,49.40001666,52,0.916666667,2750.295334,,,,
18,14,42.95041975,42.95041975,1,1.278419392,49.40001654,49.40001654,56,0.893229167,4514.55,,,,
19,28,42.741274,42.741274,1,1.761447629,49.40001651,49.40001651,1,1.049479167,2097.880256,,,,
20,15,41.76223834,41.76223834,1,1.412805816,49.40001652,49.40001652,55,0.955729167,4690.763577,,,,
21,33,42.73732924,42.73732924,1,1.860276135,49.40001675,49.40001675,1,1.0546875,985.6934736,,,,
22,10,42.40209043,42.40209043,54,1.276047804,49.40001665,49.40001665,52,0.895833333,4926.952351,,,,
23,1,43.30256317,43.30256317,1,1.590637323,49.40001662,49.40001662,57,1.057291667,5005.275148,,,,
24,32,43.44930297,43.44930297,1,1.37223544,49.40001655,49.40001655,1,0.9375,1375.052485,,,,
25,34,42.8343994,42.8343994,1,1.821305205,49.40001656,49.40001656,1,1.166666667,1302.745359,,,,
26,35,42.94371492,42.94371492,1,1.656229576,49.40001654,49.40001654,1,1.111979167,1357.441057,,,,
27,41,42.67957271,42.67957271,1,1.235747136,49.40001657,49.40001657,1,0.8671875,934.84462,,,,
28,42,43.30444422,43.30444422,1,1.369713359,49.40001664,49.40001664,1,0.947916667,1078.328546,,,,
29,37,43.35229819,43.35229819,1,1.636429676,49.40001668,49.40001668,1,1.067708333,1691.978925,,,,
30,22,42.1438654,42.1438654,55,1.623418191,49.40001669,49.40001669,1,1.049479167,4945.973545,,,,
31,8,42.89974965,42.89974965,1,1.625927205,49.40001668,49.40001668,57,0.994791667,6281.22723,,,,
32,45,42.74924614,42.74924614,1,1.634282876,49.40001674,49.40001674,1,1.171875,1172.970236,,,,
33,43,42.22271482,42.22271482,1,1.860670816,49.40001673,49.40001673,1,1.1640625,1628.676539,,,,
34,13,43.3768957,43.3768957,54,1.301149196,49.40001669,49.40001669,54,0.875,6727.823071,,,,
35,39,42.97814461,42.97814461,1,1.782347738,49.40001656,49.40001656,1,1.0234375,2188.64164,,,,
36,47,42.47967262,42.47967262,1,1.568307256,49.40001668,49.40001668,1,1.072916667,1041.140846,,,,
37,31,42.59354482,42.59354482,54,1.487003103,49.40001658,49.40001658,1,0.940104167,3813.326909,,,,
38,48,43.30119267,43.30119267,1,1.60457689,49.40001663,49.40001663,1,1.046875,1187.784457,,,,
39,50,43.05552915,43.05552915,1,1.45952414,49.40001654,49.40001654,1,0.96875,1296.330796,,,,
40,38,42.51821747,42.51821747,55,1.572684138,49.40001651,49.40001651,1,1.0390625,3080.324995,,,,
41,51,42.20860024,42.20860024,1,1.437844392,49.4000166,49.4000166,1,1.010416667,1362.801662,,,,
42,52,42.6780421,42.6780421,1,1.66000805,49.4000166,49.4000166,1,1.0546875,1393.011713,,,,
43,56,42.58783199,42.58783199,1,1.620793105,49.40001676,49.40001676,1,1.005208333,1094.979279,,,,
44,58,43.45584113,43.45584113,1,1.401135443,49.40001673,49.40001673,1,0.950520833,907.9403327,,,,
45,60,42.60610198,42.60610198,1,1.478983649,49.40001673,49.40001673,1,1.002604167,1078.992659,,,,
46,5,42.59704997,42.59704997,60,1.741114543,49.4000167,49.4000167,1,1.067708333,9212.065104,,,,
47,27,43.77045665,43.77045665,1,1.666486111,49.4000166,49.4000166,57,1.166666667,6898.904202,,,,
48,61,42.47995576,42.47995576,1,1.510800354,49.40001659,49.40001659,1,1.015625,1895.665828,,,,
49,40,42.89146908,42.89146908,57,1.472536408,49.4000166,49.4000166,1,0.927083333,4860.776604,,,,
50,65,42.7528904,42.7528904,1,1.305297622,49.40001657,49.40001657,1,0.875,1011.378241,,,,
51,54,42.92294909,42.92294909,56,1.337895496,49.4000166,49.4000166,1,0.872395833,3089.039471,,,,
52,24,42.29856697,42.29856697,59,1.907092723,49.4000167,49.4000167,1,1.205729167,8858.266875,,,,
53,64,42.71700384,42.71700384,52,1.30779826,49.40001653,49.40001653,1,0.8671875,2186.71172,,,,
54,63,42.73602078,42.73602078,53,1.567597173,49.40001658,49.40001658,1,1.0234375,2912.891993,,,,
55,73,42.40895506,42.40895506,1,1.47632666,49.40001678,49.40001678,1,0.9765625,823.5112267,,,,
56,69,43.12215235,43.12215235,51,1.305721533,49.40001659,49.40001659,1,0.875,1805.663344,,,,
57,72,42.92677026,42.92677026,1,1.338135806,49.40001672,49.40001672,1,0.932291667,1398.704933,,,,
58,74,42.86031545,42.86031545,1,1.38733314,49.40001667,49.40001667,1,0.9375,867.2686138,,,,
59,18,42.26536498,42.26536498,61,1.795523265,49.40001652,49.40001652,1,1.119791667,11860.91672,,,,
60,66,42.77130548,42.77130548,50,1.240193653,49.40001655,49.40001655,1,0.8671875,2757.966639,,,,
