,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,1,22.96298503,27.50065231,26,1.455785694,33.4291851,33.43828425,32.62192716,23,1.016015625,33.97381927,89.72704983,,125,125
1,6,23.04558717,27.54882101,31,1.498952543,34.54424149,33.43828441,32.62192726,27,0.960546875,32.1190396,97.83375549,,100,100
2,17,23.36258796,27.73617895,28,1.428037693,33.36265621,33.4382845,32.62192731,33,1.01953125,34.09137599,102.3232107,,,
3,15,21.598152,26.73228663,29,1.301836148,28.117255,33.43828434,32.62192721,34,0.8796875,29.41524076,105.7504613,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,0,22.41067594,27.18370298,42,1.442247719,32.32174626,33.43828445,32.62192728,27,0.959375,32.07985414,113.9422278,,36.064,34.384
5,4,22.28097256,27.11020562,37,1.736710331,38.69559523,33.43828418,32.62192712,35,1.065234375,35.61960975,119.7625937,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,3,23.49726827,27.81626188,30,1.066820891,25.06737667,33.43828437,32.62192724,37,0.826953125,27.65189375,119.9568307,,5.625036201,5.918511147
7,2,22.64703193,27.3182346,35,1.169000474,26.47439106,33.43828428,32.62192718,40,0.811328125,27.12942049,120.5040317,,,
8,7,23.21751154,27.65023666,36,1.321766537,30.68812983,33.43828434,32.62192722,37,0.890625,29.78097199,121.4964848,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,22,22.43074502,27.19509606,42,1.56669877,35.14222063,33.43828442,32.62192726,44,1.016015625,33.97381944,144.2274566,,1.478992204,0.9821625
10,20,22.68276367,27.33964996,33,1.361548365,30.88367979,33.43828438,32.62192724,25,0.928515625,31.04796952,144.6659987,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,8,23.20824536,27.64475877,31,1.514134609,35.14040751,33.43828439,32.62192725,37,1.0984375,36.72986551,162.4861462,,0.202253384,0.104274137
12,5,22.09787118,27.00684567,44,1.752659869,38.73005201,33.43828433,32.62192721,31,1.1,36.78211276,165.1475272,,,
13,23,22.54826044,27.26192073,24,1.388912243,31.31755498,33.43828434,32.62192722,34,0.912109375,30.49937263,199.4589236,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,12,22.49827656,27.23347423,30,1.55840372,35.06139788,33.43828424,32.62192716,29,1.003515625,33.55584071,199.9806468,,22.77925576,33.43828434
15,10,23.29160748,27.69408889,33,1.266494177,29.49868525,33.43828433,32.62192721,28,0.798046875,26.68531831,202.018014,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,11,22.5605558,27.26892348,36,1.549158715,34.94988163,33.43828427,32.62192718,37,0.908984375,30.39487793,209.1649251,,0.583581742,8.02302E-08
17,27,23.27647153,27.6851239,39,1.653644673,38.49101315,33.43828446,32.62192728,33,1.14140625,38.16666687,108.3795006,,,
18,24,23.63120358,27.89618821,38,1.817185143,42.94227206,33.43828437,32.62192723,27,1.218359375,40.73984725,124.8922374,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,21,22.33728225,27.14208532,29,1.414745968,31.60158,33.43828423,32.62192715,33,0.925390625,30.94347474,216.7507787,,33.68007476,32.84182894
20,14,22.66564723,27.32886309,39,1.530979976,34.70065205,33.43828449,32.6219273,38,0.96875,32.3933381,218.2534604,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,25,22.25968508,27.09816515,29,1.467587791,32.66804205,33.43828437,32.62192724,38,0.827734375,27.67801741,120.8273768,,4.640778088,3.486748234
22,26,22.56948953,27.27401295,40,1.933626889,43.64097183,33.43828446,32.62192729,35,1.16875,39.08099496,116.355489,,,
23,16,23.50145852,27.8187581,40,1.304286538,30.65263597,33.43828435,32.62192722,28,0.9515625,31.81861745,226.0638452,,,
24,30,23.34336092,27.72476979,42,1.599400585,37.33538511,33.43828432,32.62192721,33,0.985546875,32.95499662,117.0136468,,,
25,32,22.79190897,27.40221946,41,1.487020678,33.89203993,33.43828425,32.62192717,22,0.93515625,31.27002051,115.7427912,,,
26,18,22.81054968,27.41292345,40,1.583221026,36.11414187,33.43828442,32.62192726,35,1.0015625,33.49053174,240.7272921,,,
27,19,22.76662993,27.3877119,41,1.835361778,41.78500239,33.43828426,32.62192717,39,1.187109375,39.69490073,242.268903,,,
28,31,22.74762233,27.37680982,36,1.288338003,29.30662633,33.43828429,32.62192719,41,0.9015625,30.14670318,136.4195943,,,
29,28,23.44594122,27.78570802,42,1.57896261,37.02026454,33.43828443,32.62192727,43,1.11171875,37.17396777,143.8965201,,,
30,33,23.96061096,28.09397967,40,1.447519648,34.68345514,33.43828435,32.62192722,39,1.117578125,37.36989513,119.8746881,,,
31,29,21.94441228,26.92129828,40,1.59916843,35.09281133,33.43828435,32.62192722,44,1.070703125,35.80247555,151.4042642,,,
32,36,22.35046389,27.14955444,29,1.290518702,28.84369165,33.4382843,32.62192719,34,0.989453125,33.0856149,108.1715553,,,
33,35,22.20900818,27.06952683,32,1.53671699,34.1289602,33.43828432,32.6219272,40,1.062109375,35.51511526,118.3289528,,,
34,39,23.02631217,27.53748002,37,1.662753007,38.2870698,33.43828442,32.62192726,33,1.084765625,36.2727015,115.4525185,,,
