,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
0,47.47985022,42,1.092523477,66.98047614,46.7189347,44.256,0.994983089,105.179642
1,44.1004498,41,0.933815983,67.84216237,,,,
2,48.66379366,45,1.11811778,72.69235849,,,,
3,45.90368479,45,1.067225561,74.92955709,,,,
4,46.38632477,35,0.905007907,57.60553122,,,,
5,55.9338418,44,1.48765035,72.02750015,,,,
6,48.58942378,44,1.120889402,68.33106518,,,,
7,54.81892081,54,1.301947553,186.5882516,,,,
8,51.94501969,42,1.255079639,70.43029308,,,,
9,46.1587337,46,0.953488709,85.966887,,,,
10,43.36729682,45,0.93028872,75.0924902,,,,
11,51.41502821,44,1.25664632,73.0025897,,,,
12,47.73273406,47,1.035044921,89.15076399,,,,
13,46.21992592,51,0.88822398,142.1793945,,,,
14,52.07618439,38,1.351280497,66.58739614,,,,
15,43.64148952,44,0.917329718,76.08352065,,,,
16,50.74919522,41,1.246777535,70.58643675,,,,
17,48.35843,41,0.988482071,70.26674771,,,,
18,52.41842069,52,1.226726988,157.3769784,,,,
19,41.14429452,45,0.874123091,78.22832108,,,,
20,45.15558667,45,0.90500076,79.24616098,,,,
21,45.48912965,48,0.916216933,102.6546061,,,,
22,44.4846809,43,0.908523684,74.50186634,,,,
23,45.68316308,53,0.931770134,174.1414096,,,,
24,49.72464769,45,1.105715809,77.98557329,,,,
25,51.83227889,51,1.084117472,142.6860645,,,,
26,42.39194621,30,0.7436983,54.33941913,,,,
27,38.60824118,39,0.710249153,68.24734402,,,,
28,52.30579615,47,1.212991668,81.63824916,,,,
29,49.06620979,45,1.165014031,77.57368183,,,,
30,45.76618377,39,0.879410287,64.60496593,,,,
31,47.55101302,48,0.861997084,102.2980225,,,,
32,38.42663244,34,0.699546355,61.99243951,,,,
33,43.52330924,46,0.813999789,89.37960672,,,,
34,45.9892849,46,1.02928877,86.26513386,,,,
35,38.79599793,44,0.786724696,77.93642926,,,,
36,47.89051193,48,1.021679763,107.041996,,,,
37,48.95322724,51,0.957108386,150.0538838,,,,
38,48.45026275,43,1.077436936,74.23931193,,,,
39,52.42757373,46,1.028138203,84.33795428,,,,
40,47.11512942,49,0.953458329,114.59778,,,,
