,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Average EBDD Normal Predicted Beta,Average EBDD Probabilistic Predicted Beta,Average EBDD Calculated Beta,Average EBDD Norm,Average Kannan Normal Predicted Beta,Average Kannan Probabilistic Predicted Beta,Average Kannan Calculated Beta,Average Kannan Norm,Total Time
0,21.19079183,26.51091599,30,1.420743582,33.43828407,32.62192706,28,0.95703125,53.93530393,,22.59168363,27.29330143,36.432,1.505149944,33.43828433,32.62192721,34.444,1.002810156,10.85814491
1,23.00083371,27.52249804,31,1.51136805,33.43828428,32.62192718,31,0.990234375,54.80310893,,0.699559538,0.400587203,5.634303506,0.207606257,1.22644E-07,7.09449E-08,5.787129167,0.117999156,
2,22.51956014,27.24558277,36,1.478013268,33.43828431,32.6219272,32,1.094921875,59.25223446,,,,,,,,,,
3,22.06373374,26.98762636,31,1.259563656,33.43828424,32.62192716,39,0.94296875,62.33437276,,,,,,,,,,
4,22.4152617,27.18630579,39,1.338900414,33.4382844,32.62192725,38,0.88046875,70.03883433,,,,,,,,,,
5,21.80980616,26.84763617,36,1.797693867,33.43828432,32.62192721,39,1,80.29491091,,,,,,,,,,
6,22.47307675,27.21914579,38,1.436403427,33.43828435,32.62192722,38,1.002734375,69.28220797,,,,,,,,,,
7,23.49096549,27.81250772,34,1.328804276,33.43828437,32.62192723,37,0.97109375,66.50852871,,,,,,,,,,
8,23.00394515,27.52432709,35,1.10577415,33.43828441,32.62192725,36,0.813671875,68.47109914,,,,,,,,,,
9,22.22866918,27.08063336,31,1.419385326,33.4382843,32.62192719,28,0.8671875,60.57189131,,,,,,,,,,
10,22.36344479,27.15691215,31,1.487588625,33.43828438,32.62192724,39,1.039453125,67.33642578,,,,,,,,,,
11,22.72066809,27.36135912,44,1.82038458,33.43828436,32.62192723,32,1.24921875,72.6826539,,,,,,,,,,
12,22.51509472,27.24304181,41,1.524813539,33.4382842,32.62192714,42,1.028125,76.10316563,,,,,,,,,,
13,21.62303282,26.74581636,33,1.330600591,33.43828456,32.62192735,24,0.894921875,57.30337429,,,,,,,,,,
14,22.50134661,27.23522044,48,1.756987313,33.43828449,32.6219273,39,1.09140625,94.40495849,,,,,,,,,,
15,21.94901247,26.92381988,35,1.695476684,33.43828429,32.62192719,33,1.0703125,67.29572868,,,,,,,,,,
16,21.39313618,26.62110567,38,1.842463631,33.43828422,32.62192715,34,1.09140625,69.015203,,,,,,,,,,
17,22.13016245,27.02504036,33,1.382957746,33.43828448,32.62192729,43,1.0015625,74.90592718,,,,,,,,,,
18,22.3034228,27.12291055,38,1.601695698,33.43828434,32.62192722,40,1.016796875,73.19401598,,,,,,,,,,
19,21.17395847,26.50187187,37,1.570738174,33.4382844,32.62192725,34,0.951953125,68.44595098,,,,,,,,,,
20,23.16293308,27.61799106,42,1.727633666,33.43828441,32.62192725,32,1.083984375,70.78033447,,,,,,,,,,
21,22.51071371,27.24054914,34,1.509890311,33.43828421,32.62192714,31,1.08515625,64.62055826,,,,,,,,,,
22,22.5229114,27.24748993,36,1.311790469,33.43828416,32.62192711,35,0.89296875,66.44193625,,,,,,,,,,
23,22.74295921,27.37413605,39,1.728387574,33.43828439,32.62192725,46,1.16015625,87.17598724,,,,,,,,,,
24,22.53113298,27.25216936,47,1.934620091,33.43828451,32.62192731,28,1.02109375,84.20590639,,,,,,,,,,
25,22.08674706,27.00058105,43,1.808532215,33.43828423,32.62192715,43,1.179296875,81.39629841,,,,,,,,,,
26,22.95980042,27.49881593,30,1.213788822,33.43828416,32.62192711,40,0.893359375,67.89895439,,,,,,,,,,
27,21.87794332,26.88489412,28,1.551025465,33.43828426,32.62192717,28,0.978125,58.68551517,,,,,,,,,,
28,23.66154725,27.91433562,43,1.561657183,33.43828426,32.62192717,34,1.071875,73.23694372,,,,,,,,,,
29,22.27066529,27.10437491,36,1.26984634,33.43828452,32.62192732,34,0.792578125,67.09470296,,,,,,,,,,
30,22.0901868,27.00251798,32,1.328226567,33.43828439,32.62192725,32,0.93984375,63.81872058,,,,,,,,,,
31,21.96796441,26.93421133,39,1.567525651,33.43828433,32.62192721,31,1.090234375,77.30094314,,,,,,,,,,
32,22.0964826,27.00606359,35,1.533505703,33.43828419,32.62192713,31,0.980859375,64.37777257,,,,,,,,,,
33,22.57628147,27.277883,37,1.569112481,33.43828438,32.62192724,19,0.98828125,60.56957412,,,,,,,,,,
34,23.84882468,28.02666413,39,1.202013925,33.43828445,32.62192728,36,0.841015625,71.37558889,,,,,,,,,,
35,22.31445695,27.1291575,38,1.671099566,33.43828431,32.6219272,35,1.018359375,70.09481645,,,,,,,,,,
36,22.44092958,27.2008799,33,1.285803939,33.43828438,32.62192724,36,0.87734375,65.3348608,,,,,,,,,,
37,21.56717278,26.71545184,41,1.672908056,33.43828448,32.6219273,31,0.979296875,70.02704,,,,,,,,,,
38,22.53517458,27.25447004,42,1.514577529,33.43828445,32.62192728,38,0.919921875,76.16241717,,,,,,,,,,
39,22.00346046,26.95373178,35,1.434566173,33.43828428,32.62192718,32,0.9375,63.95073676,,,,,,,,,,
40,21.79376148,26.8388716,39,1.582768402,33.43828435,32.62192722,27,0.822265625,66.5581274,,,,,,,,,,
41,22.66600095,27.3290651,39,1.41618945,33.4382843,32.6219272,37,1.0296875,72.01527643,,,,,,,,,,
42,22.38110243,27.16692445,34,1.59185108,33.43828442,32.62192726,25,1.03828125,58.81878018,,,,,,,,,,
43,23.39788733,27.7571406,40,1.373400715,33.43828409,32.62192707,29,0.92734375,68.88695145,,,,,,,,,,
44,22.87084537,27.44758264,35,1.093783443,33.43828453,32.62192733,34,0.72734375,66.28987312,,,,,,,,,,
45,21.6623566,26.76721623,47,1.682294962,33.4382844,32.62192725,24,1.011328125,82.4117763,,,,,,,,,,
46,22.39250095,27.17338996,40,1.442283851,33.43828424,32.62192716,29,0.984765625,68.11117768,,,,,,,,,,
47,22.00255142,26.95322096,31,1.397742501,33.4382844,32.62192725,31,0.903125,60.99505091,,,,,,,,,,
48,23.02897737,27.53904782,39,1.458861518,33.43828432,32.6219272,43,1.05859375,77.70373893,,,,,,,,,,
49,22.83154317,27.42498472,42,1.642193082,33.4382843,32.62192719,20,1.066796875,65.92390275,,,,,,,,,,
50,22.15912135,27.04136963,37,1.452499887,33.43828428,32.62192718,37,0.915625,70.19286036,,,,,,,,,,
51,21.58440883,26.72481676,33,1.438519823,33.43828434,32.62192722,29,0.869921875,61.67512965,,,,,,,,,,
52,22.701825,27.35056435,44,1.838088484,33.43828403,32.62192704,41,1.1890625,80.80721784,,,,,,,,,,
53,22.39855062,27.17682221,38,1.63287545,33.43828398,32.62192701,35,1.116796875,70.78508139,,,,,,,,,,
54,23.2315376,27.65853103,32,1.51962634,33.43828433,32.62192721,29,1.1296875,63.81587362,,,,,,,,,,
55,23.63159474,27.89642205,43,1.21057499,33.43828444,32.62192727,40,0.884765625,82.06467342,,,,,,,,,,
56,22.52721435,27.2499389,43,1.912367084,33.43828446,32.62192728,33,1.203125,73.14082909,,,,,,,,,,
57,22.4169155,27.18724454,35,1.44339582,33.4382846,32.62192737,35,1.038671875,67.09371686,,,,,,,,,,
58,22.88817892,27.45755645,35,1.245082168,33.43828436,32.62192723,38,0.947265625,69.2452476,,,,,,,,,,
59,21.49899644,26.67844683,31,1.227270513,33.4382845,32.62192731,34,0.76640625,63.20639038,,,,,,,,,,
60,21.85174171,26.8705597,38,1.782515291,33.4382843,32.62192719,34,1.187109375,69.16366649,,,,,,,,,,
61,22.55098468,27.26347212,39,1.80113326,33.43828444,32.62192727,45,1.1390625,84.0655303,,,,,,,,,,
62,21.44761492,26.65059718,37,1.541450673,33.43828442,32.62192726,32,1.021875,64.04651594,,,,,,,,,,
63,22.21875312,27.0750311,45,1.933871292,33.43828464,32.62192739,35,1.1859375,79.2949388,,,,,,,,,,
64,22.55757684,27.26722664,34,1.384661345,33.43828436,32.62192723,33,0.993359375,63.63067317,,,,,,,,,,
65,23.62231293,27.89087383,43,1.680743978,33.43828431,32.6219272,36,1.106640625,75.85709906,,,,,,,,,,
66,23.10448474,27.58351128,36,1.766778662,33.43828434,32.62192721,49,1.241015625,103.2476254,,,,,,,,,,
67,21.37779848,26.61280959,32,1.47432536,33.43828433,32.62192721,38,1.0328125,71.15430355,,,,,,,,,,
68,23.59487625,27.8744815,31,1.473516864,33.43828438,32.62192724,38,1.036328125,65.93975687,,,,,,,,,,
69,22.43266212,27.19618468,32,1.484668502,33.43828422,32.62192715,32,0.9828125,64.24272442,,,,,,,,,,
70,23.32971818,27.71667786,36,1.379211939,33.43828426,32.62192717,35,0.995703125,68.12722278,,,,,,,,,,
