,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
0,48.41353908,42,1.570563754,65.07748938,,1.511545949,47.04061363,45.124,15.11389899
1,47.12852259,49,1.500766783,124.965564,,StdDev Norm,StdDev Pred,StdDev Calc,
2,35.24674841,43,1.028325548,85.72760105,,0.19266844,3.979257548,5.097508527,
3,45.47661845,46,1.427842451,96.71034765,,,,,
4,41.20112405,44,1.238250067,82.96712518,,,,,
5,46.57287063,47,1.477901209,110.5817237,,,,,
6,52.19791997,53,1.775861736,201.382484,,,,,
7,41.20950816,41,1.236972476,83.0715158,,,,,
8,49.84142037,46,1.640821792,105.8471451,,,,,
9,39.34115063,31,1.162871584,72.35349631,,,,,
10,41.93487277,37,1.275014855,81.22733784,,,,,
11,48.3600964,48,1.56850395,123.3470538,,,,,
12,42.3691531,48,1.282820221,125.2495084,,,,,
13,39.6818221,38,1.181534616,82.3231442,,,,,
14,49.95402197,47,1.645673737,106.0425584,,,,,
15,42.59908754,33,1.292071131,64.11465621,,,,,
16,44.86370283,42,1.395062504,81.02041817,,,,,
17,55.49479938,55,1.963146544,233.4528456,,,,,
18,48.8556292,52,1.594195617,173.0410011,,,,,
19,47.88744211,47,1.540764409,107.1334779,,,,,
20,49.81722154,40,1.64209682,73.71676373,,,,,
21,43.82913054,49,1.348726409,117.6849811,,,,,
22,46.21814007,45,1.449112917,82.00292206,,,,,
23,45.43195908,37,1.430773092,66.90291333,,,,,
24,47.43399344,52,1.519653835,154.3687205,,,,,
25,45.94415486,43,1.448947289,69.96698785,,,,,
26,43.8702539,40,1.350613868,68.17304015,,,,,
27,43.82619488,42,1.351019482,73.90240335,,,,,
28,49.03976139,43,1.598982103,76.03919363,,,,,
29,47.91596027,45,1.542949997,80.49576855,,,,,
30,50.93835655,52,1.70059679,157.2025776,,,,,
31,47.44373026,41,1.523064261,65.48106194,,,,,
32,51.62501484,50,1.740343949,130.0309036,,,,,
33,48.17819473,40,1.557827577,68.74541616,,,,,
34,50.65048541,53,1.695156361,179.8208141,,,,,
35,52.39646576,49,1.785696477,122.1810536,,,,,
36,44.81731094,45,1.391197314,83.76223183,,,,,
37,42.52793762,41,1.289057709,74.68644977,,,,,
38,41.39570692,42,1.249379359,70.09234858,,,,,
39,46.73258769,43,1.480177311,75.22358298,,,,,
40,46.20630959,45,1.460906522,84.61762881,,,,,
41,45.55361313,52,1.427440111,164.6907804,,,,,
42,47.3369088,45,1.518619967,82.3715806,,,,,
43,53.67257303,47,1.858025304,100.0727794,,,,,
44,51.42776407,45,1.736068738,87.47069335,,,,,
45,49.62894654,50,1.634547134,135.3500867,,,,,
46,47.28395804,52,1.508781921,159.7388949,,,,,
47,47.49692985,49,1.518902842,114.6935091,,,,,
48,51.0634863,49,1.70037224,115.1256077,,,,,
49,49.11015942,47,1.606059331,95.43930292,,,,,
50,46.80847326,48,1.480212047,110.2375498,,,,,
51,49.29209109,52,1.609615792,153.8298223,,,,,
52,48.83678434,45,1.589247481,83.09532666,,,,,
53,51.19205155,51,1.715970289,147.0672717,,,,,
54,48.33093034,46,1.560387129,89.29641819,,,,,
55,39.55595015,40,1.177041857,70.32581472,,,,,
56,39.30374678,42,1.164385946,74.08941269,,,,,
57,44.21102802,44,1.365298013,77.97997904,,,,,
58,46.67264953,42,1.483890648,74.19321489,,,,,
59,50.01087887,41,1.654827795,68.56693792,,,,,
60,49.59962691,46,1.626487791,82.00225902,,,,,
61,48.94186437,47,1.600022982,98.96596265,,,,,
62,47.53282359,48,1.524775735,107.769119,,,,,
63,55.59560663,50,1.992309579,130.9872208,,,,,
64,43.88635816,48,1.349475486,109.0555346,,,,,
65,48.43733496,51,1.573052289,138.4151716,,,,,
66,43.10604966,45,1.311991536,86.2690599,,,,,
67,50.62206673,55,1.683698436,227.533294,,,,,
68,50.33239931,52,1.668284462,170.1851923,,,,,
69,51.52396465,49,1.739927263,112.7870922,,,,,
70,45.24465823,47,1.420754732,94.78692555,,,,,
71,51.19069283,41,1.721582778,74.40359879,,,,,
