,Predicted Beta,Calculated Beta,Norms,Times,,,,,AVG Pred,AVG Calc,AVG Norm,MAX Pred,Total Time Hr
0,29.47231947,36,0.82591532,32.2187345,,,,,36.583046,36.33,1.004604656,51.66277487,6.313085547
1,32.74349204,41,0.920625848,37.78446937,,,,,,,,,
2,45.73835934,34,1.403051686,32.4837594,,,,,,,,,
3,38.73996954,43,0.919447254,41.06566191,,,,,,,,,
4,42.09958223,41,1.272733509,37.5370729,,,,,,,,,
5,35.97947004,38,0.848764898,35.9977994,,,,,,,,,
6,34.72528312,36,1.029991379,35.36498809,,,,,,,,,
7,36.67321072,37,0.797542935,36.86088204,,,,,,,,,
8,32.73674339,31,0.849491173,33.42712855,,,,,,,,,
9,35.38634432,40,0.853033368,39.75559592,,,,,,,,,
10,33.69134886,33,0.902490341,34.76727295,,,,,,,,,
11,44.07166636,40,1.2977952,39.8871696,,,,,,,,,
12,37.27521815,39,0.839232608,38.61813974,,,,,,,,,
13,26.10154514,30,0.682768821,33.945997,,,,,,,,,
14,34.6623113,33,0.836538549,34.17499757,,,,,,,,,
15,41.51960097,28,1.345581251,31.65290093,,,,,,,,,
16,31.6787755,30,0.738586354,32.95536685,,,,,,,,,
17,43.57144511,41,1.264517555,40.27240539,,,,,,,,,
18,42.26335321,44,1.023298223,44.50154614,,,,,,,,,
19,28.17100252,34,0.717168559,38.10487437,,,,,,,,,
20,37.17988119,37,0.823908444,41.70108747,,,,,,,,,
21,27.94714224,29,0.746699992,32.50451851,,,,,,,,,
22,40.03777544,39,1.128902271,38.17837119,,,,,,,,,
23,45.27588545,49,1.386222743,69.2404871,,,,,,,,,
24,37.79307864,39,1.088348126,44.61889195,,,,,,,,,
25,41.09232666,41,1.182762095,42.56377935,,,,,,,,,
26,40.85737344,42,1.218673023,41.21656919,,,,,,,,,
27,34.15563697,36,0.836837244,35.8974061,,,,,,,,,
28,28.77215808,31,0.702455526,32.32234025,,,,,,,,,
29,37.53716293,41,1.080345965,42.986763,,,,,,,,,
30,35.91947077,34,1.037059888,35.81511784,,,,,,,,,
31,33.4298382,32,0.94472518,33.63373017,,,,,,,,,
32,37.87508452,34,1.054057118,34.46974111,,,,,,,,,
33,36.12111914,42,1.002805222,42.56898594,,,,,,,,,
34,37.61014643,37,1.023985405,38.10677743,,,,,,,,,
35,41.00287253,45,1.201683434,47.80622029,,,,,,,,,
36,38.66220452,35,1.14767365,36.29850888,,,,,,,,,
37,38.24375382,42,1.101896308,43.40345669,,,,,,,,,
38,31.67416001,29,0.85053905,32.67793083,,,,,,,,,
39,29.57142726,31,0.863794644,32.63447928,,,,,,,,,
40,39.2979188,40,1.12114444,40.62777019,,,,,,,,,
41,37.37169756,37,0.923131469,38.01828361,,,,,,,,,
42,42.83296345,36,1.476210342,36.85020018,,,,,,,,,
43,26.46921413,27,0.655713688,32.36053967,,,,,,,,,
44,42.9512661,47,1.172129705,58.15485072,,,,,,,,,
45,37.49121457,42,1.011753254,43.17563272,,,,,,,,,
46,36.86143985,41,1.15335008,40.29615998,,,,,,,,,
47,34.08110063,38,0.886684232,38.83441186,,,,,,,,,
48,38.91588673,41,1.076251273,41.07814002,,,,,,,,,
49,37.32131679,44,1.082205938,45.41818476,,,,,,,,,
50,48.50625637,48,1.374398322,61.63072157,,,,,,,,,
51,27.7542689,41,0.71661698,40.24299932,,,,,,,,,
52,36.00234143,30,0.941382114,31.94983721,,,,,,,,,
53,40.2968936,44,1.109655666,44.42425799,,,,,,,,,
54,34.12012419,32,0.886415161,34.34387422,,,,,,,,,
55,40.64854785,43,1.01367492,43.09799409,,,,,,,,,
56,33.53982788,35,0.882019943,35.78450513,,,,,,,,,
57,37.06455087,33,1.104155152,34.71818614,,,,,,,,,
58,26.66714599,36,0.749116125,36.82275558,,,,,,,,,
59,27.27281434,25,0.679876548,29.52000403,,,,,,,,,
60,35.40541775,40,0.948187357,40.85067677,,,,,,,,,
