,Predicted Beta,Calculated Beta,Norms,Times,,Average Pred,Average Calc,Avg Norm,Max Calc
0,33.61426395,34,1.005078125,33.66613436,,33.1836167,34.062,1.005364844,48
1,39.64600735,40,1.203125,36.62185526,,,,,
2,29.09012686,22,0.887109375,24.84035206,,,,,
3,35.14485816,26,1.05078125,26.89674926,,,,,
4,30.40581573,34,0.91875,31.75913525,,,,,
5,36.13496826,35,1.08203125,32.312433,,,,,
6,29.6861136,36,0.901171875,36.77661538,,,,,
7,39.76277851,37,1.207421875,33.95409584,,,,,
8,30.90279663,41,0.93125,38.03212595,,,,,
9,37.2289837,35,1.11796875,33.60491943,,,,,
10,32.25297331,24,0.966796875,26.34833169,,,,,
11,29.37273305,27,0.89375,27.787678,,,,,
12,26.441779,34,0.833984375,34.75820065,,,,,
13,31.62524866,40,0.95,38.42834353,,,,,
14,36.44865188,42,1.0921875,39.70472741,,,,,
15,36.72371923,31,1.101171875,29.89492822,,,,,
16,34.98070978,35,1.045703125,32.97583842,,,,,
17,32.38116864,40,0.9703125,37.56123066,,,,,
18,37.91652436,42,1.14140625,39.55012703,,,,,
19,35.74298706,43,1.06953125,42.14969182,,,,,
20,29.63680411,34,0.9,33.21016097,,,,,
21,28.07138136,37,0.8640625,34.27913761,,,,,
22,36.91374991,33,1.107421875,32.00365686,,,,,
23,34.70990997,27,1.0375,27.70358634,,,,,
24,32.29575665,37,0.96796875,35.53814721,,,,,
25,37.21740323,29,1.117578125,31.02736902,,,,,
26,32.56552182,34,0.975390625,34.02621889,,,,,
27,38.72837986,29,1.169921875,29.35491133,,,,,
28,39.94242816,40,1.2140625,37.41668034,,,,,
29,28.90393538,35,0.8828125,33.30095339,,,,,
30,32.00954921,41,0.96015625,38.52685857,,,,,
31,40.02639066,28,1.2171875,28.50440288,,,,,
32,33.50607433,29,1.001953125,28.93773293,,,,,
33,28.7491866,25,0.879296875,26.468683,,,,,
34,40.39927092,44,1.23125,42.44318557,,,,,
35,34.12234137,33,1.019921875,31.88136911,,,,,
36,33.96357111,29,1.015234375,28.91885567,,,,,
37,23.41122173,32,0.763671875,30.70979548,,,,,
38,35.45770335,42,1.060546875,39.90528202,,,,,
39,26.37406371,23,0.8328125,25.67061377,,,,,
40,33.08362836,38,0.98984375,34.53433442,,,,,
41,39.19628476,45,1.18671875,45.42635822,,,,,
42,36.06216171,28,1.0796875,28.0061655,,,,,
43,30.93363616,41,0.93203125,38.00523901,,,,,
44,36.00136847,43,1.077734375,40.06819415,,,,,
45,42.20812739,42,1.301953125,38.8009994,,,,,
46,39.05582429,36,1.181640625,34.23333454,,,,,
47,36.68796848,31,1.1,29.93985391,,,,,
48,30.84104016,19,0.9296875,23.66758847,,,,,
49,33.78935648,29,1.01015625,28.21270418,,,,,
50,32.73484418,35,0.980078125,32.51956868,,,,,
51,35.20765926,33,1.052734375,30.82384896,,,,,
52,31.16136292,44,0.937890625,41.70411921,,,,,
53,32.19584787,39,0.965234375,36.10917234,,,,,
54,32.05262864,26,0.961328125,27.50731397,,,,,
55,35.24528391,34,1.05390625,31.68199754,,,,,
56,26.21568961,28,0.830078125,27.63855052,,,,,
57,39.40049586,41,1.194140625,38.03935862,,,,,
58,29.2732301,36,0.89140625,34.19250178,,,,,
59,36.38855525,26,1.090234375,26.62115502,,,,,
60,24.60842106,33,0.7984375,31.1301887,,,,,
61,36.67604319,36,1.099609375,33.44246292,,,,,
62,33.69518536,31,1.007421875,29.74108458,,,,,
63,33.45185269,38,1.000390625,35.12940407,,,,,
64,31.77362876,29,0.95390625,28.45288253,,,,,
65,36.86634314,42,1.105859375,39.69494843,,,,,
66,39.49678482,42,1.19765625,39.02590466,,,,,
67,32.42379717,29,0.971484375,28.24093533,,,,,
68,31.68467364,34,0.9515625,31.47885561,,,,,
69,35.9768547,38,1.076953125,35.00431108,,,,,
70,39.0449944,37,1.18125,34.00074673,,,,,
71,39.19628482,39,1.18671875,36.13750076,,,,,
72,34.12234152,39,1.019921875,35.99832034,,,,,
73,28.80083818,32,0.88046875,30.37233663,,,,,
74,35.3454123,38,1.05703125,35.37518597,,,,,
75,37.56307597,39,1.129296875,35.76744103,,,,,
76,24.80373225,27,0.804296875,27.68545914,,,,,
77,36.59244647,30,1.096875,29.10740161,,,,,
78,29.19011111,27,0.889453125,27.3864665,,,,,
79,35.95231302,36,1.076171875,32.80277157,,,,,
80,22.93493244,34,0.750390625,31.97518325,,,,,
81,35.40784222,40,1.058984375,36.89999247,,,,,
82,29.14015187,23,0.88828125,25.34992647,,,,,
83,35.58203566,24,1.064453125,26.04415035,,,,,
84,30.28051373,34,0.915625,31.82700086,,,,,
85,38.4749532,33,1.1609375,31.20638585,,,,,
86,36.72371936,34,1.101171875,31.89177752,,,,,
87,33.56021138,31,1.003515625,29.89699888,,,,,
88,36.80699016,38,1.10390625,34.77774429,,,,,
89,35.16999249,31,1.0515625,29.41914439,,,,,
90,32.10998625,37,0.962890625,33.7874012,,,,,
91,25.1906715,28,0.81328125,29.62786007,,,,,
92,37.88248402,38,1.140234375,35.13667989,,,,,
